"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Deccan Cements Limited","56.24","43.76",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160779_521963_04102021031936_WEB.xml"
"UCO Bank","95.39","4.61",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160781_522065_04102021054642_WEB.xml"
"Deepak Fertilizers and Petrochemicals Corporation Limited","53.06","46.94",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160782_522171_04102021084814_WEB.xml"
"Jalan Transolutions (India) Limited","55.12","44.89",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160784_522246_05102021113202_WEB.xml"
"Godha Cabcon & Insulation Limited","72.95","27.05",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160788_522272_05102021121702_WEB.xml"
"Music Broadcast Limited","74.05","25.95",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160789_522277_05102021123206_WEB.xml"
"Electrosteel Castings Limited","55.29","44.71",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160790_522285_05102021124112_WEB.xml"
"Wonder Fibromats Limited","71.79","28.21",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160791_522292_05102021125109_WEB.xml"
"Rail Vikas Nigam Limited","78.2","21.8",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160792_522301_05102021010457_WEB.xml"
"Rohit Ferro-Tech Limited","72","28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160794_522366_05102021024441_WEB.xml"
"Ajooni Biotech Limited","52.62","47.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160796_522384_05102021031215_WEB.xml"
"Bank of India","81.41","18.59",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160797_522392_05102021031618_WEB.xml"
"Vaibhav Global Limited","58.1","41.73",,"0.17","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160798_522440_05102021035450_WEB.xml"
"INCREDIBLE INDUSTRIES LIMITED","74.96","25.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160802_522536_05102021044858_WEB.xml"
"Himadri Speciality Chemical Limited","45.43","54.57",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160803_522539_05102021045145_WEB.xml"
"Likhitha Infrastructure Limited","74.11","25.89",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160805_522549_05102021045948_WEB.xml"
"Focus Lighting and Fixtures Limited","73.36","26.64",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160806_522556_05102021050545_WEB.xml"
"OnMobile Global Limited","48.35","51.65",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160808_522569_05102021051811_WEB.xml"
"Pritika Auto Industries Limited","47.86","52.14",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160809_522574_05102021052133_WEB.xml"
