"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME","VALUE","52W H","52W L","365 D % CHNG","30 D % CHNG"
"NIFTY 50","17,276.00","17,298.15","16,966.45","17,248.40","16,985.20","-263.20","-1.53",354591366,"313,267,355,251.60","30,892.40","4,632.70","23.43","-4.39"
"WIPRO","660.00","676.80","650.10","644.30","674.75","30.45","4.73",52300009,"34,850,110,997.15","739.85","348.35","84.51","2.97"
"INFY","1,820.00","1,842.00","1,806.75","1,771.60","1,823.00","51.40","2.90",18887243,"34,427,855,412.83","1,848.00","1,152.05","53.04","2.33"
"HCLTECH","1,172.00","1,182.90","1,165.00","1,159.75","1,170.00","10.25","0.88",6373455,"7,485,431,693.85","1,377.75","850.00","31.52","4.57"
"POWERGRID","208.20","210.50","205.05","208.20","209.80","1.60","0.77",11407061,"2,380,311,418.87","216.45","136.88","8.28","9.06"
"SUNPHARMA","762.00","772.35","753.50","764.45","770.00","5.55","0.73",7171030,"5,485,335,977.90","851.00","539.70","33.73","-2.74"
"HINDALCO","449.50","457.00","444.75","450.50","450.20","-0.30","-0.07",14337902,"6,471,412,067.70","551.85","224.55","80.13","2.24"
"TCS","3,602.50","3,651.35","3,573.70","3,581.60","3,574.90","-6.70","-0.19",4333992,"15,640,943,728.80","3,989.90","2,760.45","25.28","3.13"
"EICHERMOT","2,466.00","2,491.00","2,415.05","2,471.15","2,465.00","-6.15","-0.25",670901,"1,648,081,724.52","3,037.00","2,303.70","-0.88","-5.54"
"JSWSTEEL","662.15","665.00","653.05","662.15","659.75","-2.40","-0.36",3003978,"1,982,925,877.80","776.50","344.00","81.29","1.49"
"BRITANNIA","3,546.00","3,556.00","3,500.00","3,560.60","3,533.90","-26.70","-0.75",307396,"1,083,822,964.72","4,153.00","3,317.30","-4.95","-0.99"
"TECHM","1,669.20","1,675.00","1,626.90","1,652.65","1,640.15","-12.50","-0.76",3405084,"5,622,815,209.20","1,675.00","890.00","75.93","4.79"
"SHREECEM","26,175.00","26,332.25","25,857.05","26,366.05","26,155.50","-210.55","-0.80",27863,"728,591,537.41","32,048.00","22,531.00","6.72","-3.47"
"HEROMOTOCO","2,469.00","2,469.00","2,421.00","2,471.10","2,448.00","-23.10","-0.93",492339,"1,201,430,244.75","3,629.05","2,408.90","-22.03","-8.95"
"ULTRACEMCO","7,410.80","7,410.80","7,302.00","7,413.75","7,330.00","-83.75","-1.13",279606,"2,056,054,760.40","8,269.00","4,865.45","42.40","-5.54"
"NESTLEIND","19,115.05","19,233.05","19,000.00","19,257.15","19,021.00","-236.15","-1.23",54278,"1,036,971,962.74","20,609.15","16,002.10","3.90","-1.68"
"BPCL","393.00","394.55","382.10","391.05","385.65","-5.40","-1.38",8024861,"3,089,250,490.56","503.00","357.00","-2.32","-5.08"
"BAJAJ-AUTO","3,248.05","3,261.80","3,149.10","3,253.15","3,205.30","-47.85","-1.47",3170631,"10,109,493,530.88","4,361.40","3,149.10","-5.03","-10.38"
"LT","1,866.50","1,874.70","1,831.70","1,873.90","1,846.00","-27.90","-1.49",2352938,"4,347,570,601.36","1,981.75","1,154.00","44.13","-2.63"
"NTPC","127.40","127.70","124.10","127.40","125.40","-2.00","-1.57",13041775,"1,639,481,535.25","152.10","88.15","21.01","-7.21"
"HDFCBANK","1,497.00","1,506.00","1,467.70","1,500.10","1,476.00","-24.10","-1.61",7497384,"11,089,005,805.20","1,725.00","1,342.00","4.37","-4.31"
"ICICIBANK","742.00","742.00","726.05","741.15","729.20","-11.95","-1.61",13227787,"9,673,083,799.49","867.00","488.20","40.83","-4.54"
"SBILIFE","1,156.00","1,161.95","1,137.00","1,163.80","1,144.95","-18.85","-1.62",982598,"1,125,408,793.32","1,273.90","825.20","33.30","-3.34"
"ASIANPAINT","3,275.00","3,293.30","3,227.70","3,298.60","3,243.90","-54.70","-1.66",1019403,"3,313,375,764.93","3,505.00","2,260.00","24.69","0.52"
"BAJFINANCE","7,000.00","7,025.00","6,865.00","7,028.85","6,900.00","-128.85","-1.83",1680511,"11,665,872,090.46","8,050.00","4,362.00","31.39","-7.80"
"TATASTEEL","1,154.00","1,158.85","1,125.00","1,153.20","1,131.95","-21.25","-1.84",4743502,"5,393,266,903.96","1,534.50","585.00","79.34","-4.59"
"DRREDDY","4,630.00","4,648.00","4,496.80","4,597.35","4,512.00","-85.35","-1.86",483512,"2,195,613,486.64","5,614.60","4,135.00","-13.59","-3.29"
"HDFCLIFE","667.00","669.95","654.40","669.50","656.45","-13.05","-1.95",2377387,"1,564,487,063.09","775.65","617.40","0.38","-6.80"
"DIVISLAB","4,608.00","4,625.00","4,502.15","4,601.45","4,510.00","-91.45","-1.99",424694,"1,924,691,973.30","5,425.10","3,153.30","17.70","-5.73"
"MARUTI","7,480.00","7,480.00","7,241.00","7,450.80","7,300.90","-149.90","-2.01",1081907,"7,880,242,739.62","8,368.00","6,400.00","-3.48","-10.11"
"TATACONSUM","738.00","738.80","721.05","740.25","725.00","-15.25","-2.06",1693819,"1,231,491,103.95","889.00","551.00","26.64","-12.70"
"ITC","222.80","222.85","216.75","222.90","218.10","-4.80","-2.15",29683982,"6,513,556,170.26","265.30","196.90","1.61","-8.23"
"BHARTIARTL","681.00","685.70","661.10","681.40","666.45","-14.95","-2.19",13850460,"9,253,492,326.00","781.80","475.40","30.43","-6.76"
"M&M","848.00","852.25","830.00","853.30","834.00","-19.30","-2.26",2675800,"2,236,353,366.00","979.00","660.25","13.77","-9.65"
"COALINDIA","149.10","149.40","146.00","149.75","146.35","-3.40","-2.27",8758284,"1,287,730,496.52","203.80","123.40","3.35","-4.53"
"IOC","115.95","116.00","112.35","115.75","113.00","-2.75","-2.38",11765814,"1,334,478,623.88","141.50","84.20","20.12","-12.76"
"AXISBANK","707.50","708.00","685.10","709.65","692.50","-17.15","-2.42",7844705,"5,432,222,871.35","866.90","568.40","13.03","-2.47"
"UPL","729.00","732.15","713.55","733.90","715.50","-18.40","-2.51",2810650,"2,022,178,355.50","864.70","417.00","55.46","-3.49"
"RELIANCE","2,398.05","2,408.00","2,320.00","2,403.90","2,343.40","-60.50","-2.52",9714489,"22,797,088,481.19","2,751.35","1,830.00","17.52","-5.37"
"SBIN","480.05","481.40","466.50","481.15","468.30","-12.85","-2.67",12648603,"5,958,756,873.30","542.30","248.25","72.33","-7.15"
"CIPLA","882.00","884.50","850.00","881.00","856.00","-25.00","-2.84",2824703,"2,435,656,655.81","1,005.00","738.10","8.41","-3.60"
"ADANIPORTS","744.50","744.50","721.20","745.15","723.40","-21.75","-2.92",4973404,"3,616,311,250.52","901.00","427.20","56.26","-0.29"
"HDFC","2,700.00","2,712.30","2,611.00","2,699.60","2,619.00","-80.60","-2.99",4503515,"11,879,146,691.25","3,021.10","2,354.00","5.56","-10.53"
"BAJAJFINSV","16,650.00","16,850.00","16,133.00","16,703.35","16,191.00","-512.35","-3.07",305435,"4,982,203,796.05","19,325.00","8,273.70","75.83","-9.58"
"GRASIM","1,705.55","1,714.60","1,656.20","1,717.30","1,662.00","-55.30","-3.22",615334,"1,029,816,829.06","1,893.00","863.35","83.13","-6.13"
"TITAN","2,336.00","2,339.30","2,257.10","2,357.25","2,279.70","-77.55","-3.29",1591893,"3,636,281,585.25","2,677.90","1,396.00","50.09","-7.98"
"HINDUNILVR","2,303.00","2,308.95","2,226.00","2,309.50","2,229.95","-79.55","-3.44",2439222,"5,477,809,629.84","2,859.30","2,120.00","-4.42","-7.05"
"KOTAKBANK","1,855.00","1,859.95","1,790.00","1,860.75","1,796.15","-64.60","-3.47",2935126,"5,313,781,461.66","2,253.00","1,626.00","-7.98","-11.39"
"ONGC","144.20","145.10","138.50","145.35","139.70","-5.65","-3.89",17667617,"2,489,897,263.81","172.75","86.60","40.81","-9.66"
"TATAMOTORS","488.00","488.85","468.20","491.95","470.20","-21.75","-4.42",27341178,"12,944,954,135.88","536.70","156.70","160.43","-7.75"
"INDUSINDBK","926.00","929.00","880.25","928.30","885.50","-42.80","-4.61",4786306,"4,281,207,127.82","1,242.00","789.00","-2.45","-12.44"
