"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME","VALUE","52W H","52W L","365 D % CHNG","30 D % CHNG"
"NIFTY AUTO","10,927.00","10,931.60","10,661.40","10,945.75","10,678.65","-267.10","-2.44",50918372,"42,258,000,628.05","30,892.40","4,632.70","16.47","-9.10"
"EICHERMOT","2,466.00","2,491.00","2,415.05","2,471.15","2,465.00","-6.15","-0.25",670901,"1,648,081,724.52","3,037.00","2,303.70","-0.88","-5.54"
"HEROMOTOCO","2,469.00","2,469.00","2,421.00","2,471.10","2,448.00","-23.10","-0.93",492339,"1,201,430,244.75","3,629.05","2,408.90","-22.03","-8.95"
"MRF","73,270.00","73,380.00","72,100.00","73,306.45","72,415.95","-890.50","-1.21",10564,"766,423,482.00","98,599.95","72,100.00","-6.46","-6.33"
"AMARAJABAT","629.00","629.00","616.10","627.75","618.75","-9.00","-1.43",458446,"284,319,040.28","1,025.55","607.70","-35.30","-4.65"
"BAJAJ-AUTO","3,248.05","3,261.80","3,149.10","3,253.15","3,205.30","-47.85","-1.47",3170631,"10,109,493,530.88","4,361.40","3,149.10","-5.03","-10.38"
"EXIDEIND","163.00","163.35","159.10","162.95","159.85","-3.10","-1.90",2380145,"382,108,478.30","219.30","156.75","-16.05","-9.23"
"MARUTI","7,480.00","7,480.00","7,241.00","7,450.80","7,300.90","-149.90","-2.01",1081907,"7,880,242,739.62","8,368.00","6,400.00","-3.48","-10.11"
"BALKRISIND","2,250.00","2,252.25","2,195.00","2,252.85","2,203.00","-49.85","-2.21",159488,"353,809,774.08","2,723.80","1,515.50","36.73","-4.54"
"ASHOKLEY","126.75","126.75","122.15","126.05","123.25","-2.80","-2.22",7964732,"983,166,518.08","153.50","87.25","25.39","-11.62"
"M&M","848.00","852.25","830.00","853.30","834.00","-19.30","-2.26",2675800,"2,236,353,366.00","979.00","660.25","13.77","-9.65"
"BOSCHLTD","16,500.00","16,569.35","16,035.25","16,493.40","16,081.00","-412.40","-2.50",27342,"442,438,127.46","19,250.00","11,910.00","21.95","-9.44"
"TIINDIA","1,610.90","1,610.90","1,549.05","1,602.50","1,552.00","-50.50","-3.15",160028,"250,507,831.20","1,798.00","750.10","90.48","-10.85"
"TVSMOTOR","634.00","635.05","610.00","636.60","614.25","-22.35","-3.51",3261223,"2,021,045,117.56","813.95","445.50","25.85","-14.96"
"BHARATFORG","727.00","729.00","696.20","726.60","699.80","-26.80","-3.69",1063648,"753,626,517.44","847.95","492.10","26.17","-9.98"
"TATAMOTORS","488.00","488.85","468.20","491.95","470.20","-21.75","-4.42",27341178,"12,944,954,135.88","536.70","156.70","160.43","-7.75"
