"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME","VALUE","52W H","52W L","365 D % CHNG","30 D % CHNG"
"NIFTY BANK","36,491.80","36,550.75","35,535.05","36,548.65","35,618.65","-930.00","-2.54",152082650,"51,195,839,085.80","41,829.60","4,632.70","15.97","-6.21"
"HDFCBANK","1,497.00","1,506.00","1,467.70","1,500.10","1,476.00","-24.10","-1.61",7497384,"11,089,005,805.20","1,725.00","1,342.00","4.37","-4.31"
"ICICIBANK","742.00","742.00","726.05","741.15","729.20","-11.95","-1.61",13227787,"9,673,083,799.49","867.00","488.20","40.83","-4.54"
"AXISBANK","707.50","708.00","685.10","709.65","692.50","-17.15","-2.42",7844705,"5,432,222,871.35","866.90","568.40","13.03","-2.47"
"SBIN","480.05","481.40","466.50","481.15","468.30","-12.85","-2.67",12648603,"5,958,756,873.30","542.30","248.25","72.33","-7.15"
"BANDHANBNK","275.80","277.25","265.65","275.45","267.30","-8.15","-2.96",4525941,"1,216,527,681.39","424.90","259.25","-34.58","-12.57"
"IDFCFIRSTB","49.50","49.90","47.90","49.70","48.00","-1.70","-3.42",23325459,"1,128,718,961.01","69.30","32.90","30.04","-1.13"
"KOTAKBANK","1,855.00","1,859.95","1,790.00","1,860.75","1,796.15","-64.60","-3.47",2935126,"5,313,781,461.66","2,253.00","1,626.00","-7.98","-11.39"
"PNB","39.25","39.40","37.90","39.40","38.00","-1.40","-3.55",47068060,"1,804,118,739.80","48.20","31.40","3.97","-8.76"
"FEDERALBNK","88.20","88.55","84.80","88.60","85.20","-3.40","-3.84",19561652,"1,677,607,275.52","107.65","57.65","28.41","-10.03"
"AUBANK","1,149.90","1,158.30","1,099.05","1,147.55","1,100.00","-47.55","-4.14",2152649,"2,438,908,264.02","1,389.85","720.45","23.63","-8.67"
"RBLBANK","187.10","187.80","178.80","187.20","179.40","-7.80","-4.17",6508978,"1,181,900,225.24","274.30","155.60","-21.19","-11.78"
"INDUSINDBK","926.00","929.00","880.25","928.30","885.50","-42.80","-4.61",4786306,"4,281,207,127.82","1,242.00","789.00","-2.45","-12.44"
