"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME","VALUE","52W H","52W L","365 D % CHNG","30 D % CHNG"
"NIFTY ENERGY","23,124.85","23,193.95","22,663.30","23,175.15","22,755.75","-419.40","-1.81",132046073,"47,376,965,764.38","30,892.40","4,632.70","32.06","-4.36"
"ADANIGREEN","1,405.00","1,428.45","1,375.00","1,402.25","1,414.50","12.25","0.87",1210610,"1,691,900,111.60","1,474.85","874.80","39.08","5.02"
"POWERGRID","208.20","210.50","205.05","208.20","209.80","1.60","0.77",11407061,"2,380,311,418.87","216.45","136.88","8.28","9.06"
"GAIL","130.00","130.20","127.65","129.55","129.70","0.15","0.12",19860746,"2,563,625,093.68","171.30","112.55","3.56","-8.12"
"BPCL","393.00","394.55","382.10","391.05","385.65","-5.40","-1.38",8024861,"3,089,250,490.56","503.00","357.00","-2.32","-5.08"
"NTPC","127.40","127.70","124.10","127.40","125.40","-2.00","-1.57",13041775,"1,639,481,535.25","152.10","88.15","21.01","-7.21"
"IOC","115.95","116.00","112.35","115.75","113.00","-2.75","-2.38",11765814,"1,334,478,623.88","141.50","84.20","20.12","-12.76"
"RELIANCE","2,398.05","2,408.00","2,320.00","2,403.90","2,343.40","-60.50","-2.52",9714489,"22,797,088,481.19","2,751.35","1,830.00","17.52","-5.37"
"TATAPOWER","222.70","222.70","214.00","221.90","215.80","-6.10","-2.75",38813929,"8,409,425,857.14","267.85","66.40","183.76","-8.98"
"ADANITRANS","1,803.05","1,872.10","1,750.00","1,839.85","1,775.45","-64.40","-3.50",539171,"981,506,888.40","2,045.00","381.55","-","-7.11"
"ONGC","144.20","145.10","138.50","145.35","139.70","-5.65","-3.89",17667617,"2,489,897,263.81","172.75","86.60","40.81","-9.66"
