"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME","VALUE","52W H","52W L","365 D % CHNG","30 D % CHNG"
"NIFTY NEXT 50","42,341.10","42,367.15","41,259.55","42,399.00","41,353.60","-1,045.40","-2.47",322989561,"80,132,763,217.98","45,290.80","4,632.70","28.90","-5.19"
"LTI","6,917.20","7,129.30","6,867.10","6,839.55","6,950.00","110.45","1.61",865305,"6,046,811,911.35","7,564.95","3,265.05","107.91","-2.37"
"GLAND","3,650.00","3,669.00","3,527.00","3,626.00","3,660.00","34.00","0.94",129045,"464,856,222.60","4,350.00","2,071.00","63.92","6.76"
"ADANIGREEN","1,405.00","1,428.45","1,375.00","1,402.25","1,414.50","12.25","0.87",1210610,"1,691,900,111.60","1,474.85","874.80","39.08","5.02"
"GAIL","130.00","130.20","127.65","129.55","129.70","0.15","0.12",19860746,"2,563,625,093.68","171.30","112.55","3.56","-8.12"
"AUROPHARMA","687.10","689.00","665.30","683.70","682.00","-1.70","-0.25",1879826,"1,277,943,311.32","1,063.90","620.50","-23.30","6.26"
"MUTHOOTFIN","1,460.20","1,467.95","1,438.60","1,464.40","1,458.60","-5.80","-0.40",665400,"967,564,794.00","1,721.95","1,090.00","20.08","-9.30"
"INDIGO","1,957.00","1,993.95","1,942.00","1,965.60","1,952.55","-13.05","-0.66",922125,"1,814,022,742.50","2,380.00","1,425.00","18.43","-13.14"
"IGL","495.05","499.50","491.30","497.50","493.90","-3.60","-0.72",1261627,"624,000,714.20","602.05","451.65","3.27","0.72"
"BERGEPAINT","761.00","763.75","751.40","760.80","754.55","-6.25","-0.82",784150,"592,527,264.50","872.95","675.05","6.08","-4.43"
"DABUR","570.50","572.00","561.55","570.25","565.40","-4.85","-0.85",1884521,"1,065,922,768.02","658.95","492.55","10.88","-7.23"
"DMART","4,771.00","4,791.25","4,672.15","4,742.10","4,699.80","-42.30","-0.89",454824,"2,151,472,160.16","5,900.00","2,460.80","78.15","-7.54"
"NMDC","136.50","136.90","134.20","136.45","135.10","-1.35","-0.99",6104584,"826,194,398.56","213.20","103.65","16.64","-0.63"
"PIDILITIND","2,414.80","2,414.80","2,384.25","2,418.25","2,393.40","-24.85","-1.03",491876,"1,179,174,334.80","2,532.00","1,620.00","38.09","-1.97"
"PGHH","14,850.00","14,910.05","14,339.75","14,829.25","14,669.00","-160.25","-1.08",7290,"107,205,646.50","15,530.55","10,743.35","32.04","-3.87"
"TORNTPHARM","3,099.50","3,112.00","3,049.20","3,092.05","3,057.75","-34.30","-1.11",160595,"495,122,414.75","3,250.20","2,311.10","10.87","10.39"
"SAIL","113.10","113.50","110.40","113.50","112.20","-1.30","-1.15",34182526,"3,830,152,038.30","151.30","53.65","94.38","1.67"
