"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME","VALUE","52W H","52W L","365 D % CHNG","30 D % CHNG"
"NIFTY OIL & GAS","7,541.35","7,554.60","7,348.90","7,570.85","7,381.25","-189.60","-2.50",79487938,"36,622,340,865.93","30,892.40","4,632.70","-","-4.80"
"MRPL","44.15","44.80","42.95","43.90","44.30","0.40","0.91",874710,"38,207,332.80","57.80","30.45","26.18","-5.26"
"GAIL","130.00","130.20","127.65","129.55","129.70","0.15","0.12",19860746,"2,563,625,093.68","171.30","112.55","3.56","-8.12"
"CASTROLIND","125.50","126.00","124.65","125.50","125.50","-","-",1215373,"152,529,311.50","154.90","117.70","-0.12","-6.51"
"IGL","495.05","499.50","491.30","497.50","493.90","-3.60","-0.72",1261627,"624,000,714.20","602.05","451.65","3.27","0.72"
"BPCL","393.00","394.55","382.10","391.05","385.65","-5.40","-1.38",8024861,"3,089,250,490.56","503.00","357.00","-2.32","-5.08"
"MGL","891.50","891.50","869.30","890.15","877.00","-13.15","-1.48",615615,"539,438,799.90","1,284.40","869.30","-16.38","-9.52"
"GUJGASLTD","637.55","637.95","616.55","637.40","624.65","-12.75","-2.00",599271,"374,927,908.44","786.00","340.00","71.49","-1.88"
"GSPL","305.35","309.60","292.25","305.35","298.30","-7.05","-2.31",1101170,"329,987,613.90","379.20","190.90","36.55","-4.01"
"IOC","115.95","116.00","112.35","115.75","113.00","-2.75","-2.38",11765814,"1,334,478,623.88","141.50","84.20","20.12","-12.76"
"RELIANCE","2,398.05","2,408.00","2,320.00","2,403.90","2,343.40","-60.50","-2.52",9714489,"22,797,088,481.19","2,751.35","1,830.00","17.52","-5.37"
"PETRONET","221.80","222.65","214.75","222.00","215.90","-6.10","-2.75",2483622,"538,772,120.46","275.35","211.40","-16.30","-4.28"
"OIL","195.80","196.85","186.25","196.05","190.60","-5.45","-2.78",1181137,"225,620,789.74","267.80","98.05","74.07","-10.80"
"HINDPETRO","297.80","298.65","286.60","297.80","288.30","-9.50","-3.19",2730995,"795,047,264.40","354.80","203.90","28.05","-11.23"
"ONGC","144.20","145.10","138.50","145.35","139.70","-5.65","-3.89",17667617,"2,489,897,263.81","172.75","86.60","40.81","-9.66"
"ATGL","1,875.00","1,977.00","1,819.95","1,915.70","1,819.95","-95.75","-5.00",390891,"729,469,057.47","1,987.10","315.00","-","12.34"
