"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2019","EQ","166.45","166.45","161.10","158.55","166.45","166.45","165.97","166.45","30.15",2050662,"340,356,381.30",7063
"30-Dec-2019","EQ","153.70","158.55","152.45","151.00","158.55","158.55","155.99","164.10","30.15",1567589,"244,533,060.70",12547
"27-Dec-2019","EQ","159.40","164.10","149.25","156.30","151.00","151.00","155.59","164.10","30.15",5370150,"835,559,699.80",43818
"26-Dec-2019","EQ","156.30","156.30","156.25","148.90","156.30","156.30","156.30","156.30","30.15",347718,"54,348,323.35",1253
"24-Dec-2019","EQ","146.45","148.90","145.10","141.85","148.90","148.90","147.75","148.90","30.15",1169913,"172,850,445.75",7492
"23-Dec-2019","EQ","135.10","141.85","134.75","135.10","141.85","141.85","140.30","141.85","30.15",2374429,"333,135,796.20",12526
"20-Dec-2019","EQ","134.75","136.40","134.10","134.25","134.15","135.10","135.27","138.75","30.15",617642,"83,546,192.25",5509
"19-Dec-2019","EQ","134.95","135.45","133.05","135.10","134.25","134.25","134.18","138.75","30.15",483204,"64,835,522.50",4860
"18-Dec-2019","EQ","136.30","137.30","134.00","135.55","135.00","135.10","135.63","138.75","30.15",690735,"93,682,951.45",6652
"17-Dec-2019","EQ","135.00","137.00","134.55","134.40","135.20","135.55","135.75","138.75","30.15",957067,"129,920,703.70",8717
"16-Dec-2019","EQ","133.30","137.90","132.70","132.65","134.00","134.40","135.23","138.75","30.15",2156419,"291,614,915.05",17899
"13-Dec-2019","EQ","131.90","135.50","131.50","131.90","132.50","132.65","133.21","138.75","30.15",764794,"101,875,333.05",8840
"12-Dec-2019","EQ","134.20","135.50","129.15","132.55","131.20","131.90","132.12","138.75","30.15",1195491,"157,953,613.00",12548
"11-Dec-2019","EQ","128.00","133.20","127.20","126.90","133.20","132.55","131.55","138.75","30.15",2319859,"305,177,883.45",16359
"10-Dec-2019","EQ","124.35","129.00","123.65","124.65","126.80","126.90","127.12","138.75","30.15",1078100,"137,047,164.90",10567
"09-Dec-2019","EQ","125.30","126.25","121.05","126.40","123.25","124.65","123.98","138.75","30.15",981394,"121,669,272.40",9698
"06-Dec-2019","EQ","129.60","131.25","123.50","129.95","126.00","126.40","126.69","138.75","30.15",1133254,"143,569,898.85",13407
"05-Dec-2019","EQ","129.00","133.95","128.60","128.55","129.50","129.95","130.97","138.75","30.15",1769948,"231,801,925.60",17969
"04-Dec-2019","EQ","119.55","130.95","118.55","124.75","127.90","128.55","123.87","138.75","30.15",6954803,"861,468,427.15",33258
"03-Dec-2019","EQ","132.00","132.00","124.75","131.30","124.75","124.75","125.63","138.75","30.15",1057611,"132,866,530.10",6656
"02-Dec-2019","EQ","138.00","138.70","130.25","137.10","132.25","131.30","131.81","138.75","30.15",3121254,"411,409,919.95",18933
"29-Nov-2019","EQ","136.00","138.75","132.35","132.15","137.15","137.10","137.30","138.75","30.15",5716364,"784,867,908.25",35088
"28-Nov-2019","EQ","127.25","132.15","127.25","125.90","132.15","132.15","130.02","132.15","30.15",3053265,"396,985,920.90",23058
"27-Nov-2019","EQ","115.80","126.65","115.40","115.15","126.65","125.90","122.62","126.65","30.15",5101074,"625,469,234.25",30987
"26-Nov-2019","EQ","114.50","118.85","110.85","114.30","115.00","115.15","115.49","118.85","30.15",3410913,"393,920,445.20",27662
"25-Nov-2019","EQ","107.70","117.30","106.70","106.70","113.80","114.30","113.59","117.30","30.15",6899872,"783,722,410.05",48332
"22-Nov-2019","EQ","97.45","106.70","95.30","97.00","106.70","106.70","103.00","106.70","30.15",4228833,"435,549,102.15",24214
"21-Nov-2019","EQ","98.65","99.20","96.30","98.75","97.25","97.00","97.79","100.90","30.15",855172,"83,624,083.90",5784
"20-Nov-2019","EQ","96.80","100.90","95.60","96.20","98.25","98.75","98.63","100.90","30.15",2279188,"224,804,667.45",12887
"19-Nov-2019","EQ","94.05","97.60","92.00","94.05","96.20","96.20","94.69","99.80","30.15",1471915,"139,376,612.90",8990
"18-Nov-2019","EQ","95.95","96.00","93.65","95.50","93.90","94.05","94.37","99.80","30.15",643258,"60,702,788.45",5065
"15-Nov-2019","EQ","95.40","96.70","94.50","95.05","95.85","95.50","95.64","99.80","30.15",1053101,"100,716,559.35",7830
"14-Nov-2019","EQ","96.70","98.50","93.50","96.00","95.20","95.05","95.36","99.80","30.15",1611104,"153,630,031.80",12218
