"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2017","EQ","92.75","94.75","92.30","92.05","93.40","93.50","93.48","97.10","72.85",9494201,"887,521,144.10",28265
"28-Dec-2017","EQ","92.65","93.50","91.60","92.30","92.45","92.05","92.54","97.10","72.85",6436421,"595,619,115.05",17209
"27-Dec-2017","EQ","93.50","94.20","91.55","93.15","92.20","92.30","93.04","97.10","72.85",5456865,"507,705,633.15",23495
"26-Dec-2017","EQ","95.90","95.90","92.60","92.75","93.10","93.15","93.71","97.10","72.85",8476138,"794,338,336.10",40967
"22-Dec-2017","EQ","91.30","93.85","90.95","91.00","92.65","92.75","92.82","97.10","72.55",12421581,"1,152,983,692.65",47307
"21-Dec-2017","EQ","90.85","91.70","90.60","90.85","90.95","91.00","91.05","97.10","72.55",4925527,"448,478,838.10",31257
"20-Dec-2017","EQ","91.00","91.90","90.55","91.10","90.85","90.85","91.06","97.10","72.55",4907711,"446,895,642.10",15341
"19-Dec-2017","EQ","91.80","92.00","90.60","91.10","91.00","91.10","91.16","97.10","72.55",3616578,"329,704,987.15",11730
"18-Dec-2017","EQ","90.00","93.05","88.30","91.20","91.20","91.10","91.15","97.10","72.55",8374309,"763,352,174.60",22051
"15-Dec-2017","EQ","91.55","92.10","90.70","90.50","90.95","91.20","91.29","97.10","72.55",4984491,"455,015,457.30",18741
"14-Dec-2017","EQ","90.50","91.00","89.35","90.25","90.75","90.50","90.04","97.10","72.55",9796726,"882,098,616.00",27960
"13-Dec-2017","EQ","90.55","91.65","89.90","90.55","90.30","90.25","90.48","97.10","72.55",7782576,"704,162,732.45",19761
"12-Dec-2017","EQ","92.85","93.00","90.15","93.55","90.70","90.55","91.43","97.10","72.55",5463807,"499,571,258.25",16501
"11-Dec-2017","EQ","92.20","94.05","90.35","91.60","93.25","93.55","92.57","97.10","72.55",8217955,"760,705,702.75",28599
"08-Dec-2017","EQ","91.50","93.85","91.20","90.85","91.50","91.60","92.36","97.10","72.55",8248218,"761,804,761.70",31219
"07-Dec-2017","EQ","87.90","91.20","87.70","87.40","90.70","90.85","90.09","97.10","72.55",10031260,"903,705,687.90",42564
"06-Dec-2017","EQ","89.00","90.25","87.00","88.90","87.45","87.40","88.62","97.10","72.55",4891755,"433,504,140.30",28604
"05-Dec-2017","EQ","89.75","89.90","88.10","89.85","88.90","88.90","88.80","97.10","72.55",4046457,"359,305,860.05",14387
"04-Dec-2017","EQ","91.00","91.85","89.25","90.25","90.05","89.85","90.51","97.10","72.55",4903439,"443,807,618.20",17479
"01-Dec-2017","EQ","94.85","95.60","89.70","94.70","90.05","90.25","92.60","97.10","70.10",7310376,"676,926,092.10",21831
"30-Nov-2017","EQ","94.75","95.75","93.70","95.05","94.95","94.70","94.67","97.10","70.10",17098296,"1,618,680,787.00",40924
"29-Nov-2017","EQ","95.70","97.10","94.50","95.85","94.60","95.05","95.96","97.10","70.10",12104211,"1,161,545,141.50",33589
"28-Nov-2017","EQ","95.75","96.90","94.60","95.25","95.90","95.85","96.00","96.90","70.10",13765563,"1,321,529,401.25",43887
"27-Nov-2017","EQ","93.40","95.80","92.50","93.65","95.75","95.25","94.31","95.80","70.10",11711838,"1,104,585,046.10",32220
"24-Nov-2017","EQ","93.10","94.35","92.60","93.15","93.75","93.65","93.32","94.95","68.05",6622336,"618,020,665.90",18546
"23-Nov-2017","EQ","93.40","94.95","92.20","93.05","93.10","93.15","93.62","94.95","68.05",11289675,"1,056,898,891.45",40935
"22-Nov-2017","EQ","92.75","93.40","90.45","92.90","93.25","93.05","92.15","94.60","68.05",10917988,"1,006,075,470.15",33141
"21-Nov-2017","EQ","92.15","94.60","91.70","91.70","92.65","92.90","93.41","94.60","68.05",17274882,"1,613,664,650.55",64130
"20-Nov-2017","EQ","89.00","92.40","89.00","88.95","91.60","91.70","91.46","92.40","68.05",22268784,"2,036,741,337.95",61120
"17-Nov-2017","EQ","85.50","90.40","85.40","84.80","89.85","88.95","87.44","91.15","68.05",17486215,"1,528,978,494.20",42517
"16-Nov-2017","EQ","82.40","85.25","82.40","82.05","85.00","84.80","84.29","91.15","68.05",9687109,"816,553,154.50",46995
"15-Nov-2017","EQ","81.70","82.70","81.65","81.80","82.25","82.05","82.11","91.15","68.05",4310040,"353,910,121.15",19188
"14-Nov-2017","EQ","82.00","83.20","81.65","82.20","81.70","81.80","82.29","91.15","68.05",5252226,"432,205,036.80",23015
"13-Nov-2017","EQ","83.15","83.35","81.75","82.95","82.35","82.20","82.32","91.15","68.05",3917398,"322,497,442.15",13559
"10-Nov-2017","EQ","83.45","84.25","82.35","83.75","83.20","82.95","83.42","91.15","67.00",3201517,"267,063,709.90",10232
"09-Nov-2017","EQ","83.55","84.40","82.70","83.30","83.65","83.75","83.63","91.15","67.00",3733865,"312,249,900.80",10951
